DateTime,Diff,Inc Vol
2019-01-01,-255.0,173043
2019-01-02,-120.0,185484
2019-01-03,167.5,271354
2019-01-04,-335.0,217935
2019-01-06,7.5,8899
2019-01-07,-2.5,186616
2019-01-08,25.0,403044
2019-01-09,45.0,303339
2019-01-10,-177.5,194667
2019-01-11,245.0,266055
2019-01-13,-37.5,14526
2019-01-14,170.0,171500
2019-01-15,12.5,375077
2019-01-16,5.0,317901
2019-01-17,-137.5,219792
2019-01-18,47.5,176140
2019-01-20,52.5,24947
2019-01-21,162.5,210683
2019-01-22,227.5,240631
2019-01-23,-37.5,264384
2019-01-24,87.5,274855
2019-01-25,140.0,187061
2019-01-27,185.0,195544
2019-01-28,20.0,219519
2019-01-29,-475.0,62882
2019-01-30,-5.0,31951
2019-01-31,-202.5,56072
2019-02-01,20.0,44687
2019-02-03,-22.5,48455
2019-02-04,310.0,287615
2019-02-05,-65.0,182768
2019-02-06,175.0,306567
2019-02-07,12.5,292634
2019-02-08,-110.0,277209
2019-02-10,87.5,144750
2019-02-11,12.5,380522
2019-02-12,37.5,307670
2019-02-13,-162.5,341641
2019-02-14,220.0,370041
2019-02-15,747.5,623882
2019-02-17,-62.5,144331
2019-02-18,-150.0,362833
2019-02-19,-7.5,614097
2019-02-20,0.0,547928
2019-02-21,617.5,691870
2019-02-22,80.0,455995
2019-02-24,-17.5,21089
2019-02-25,-55.0,469211
2019-02-26,-330.0,542971
2019-02-27,-97.5,907572
2019-02-28,425.0,544407
2019-03-01,-165.0,216565
2019-03-03,-37.5,215315
2019-03-04,0.0,336862
2019-03-05,-117.5,397849
2019-03-06,207.5,469531
2019-03-07,-35.0,402475
2019-03-08,-47.5,256602
2019-03-10,-87.5,154722
2019-03-11,-10.0,350022
2019-03-12,230.0,440524
2019-03-13,172.5,288045
2019-03-14,-42.5,383272
2019-03-15,-57.5,135330
2019-03-17,422.5,381368
2019-03-18,15.0,485187
2019-03-19,-155.0,280234
2019-03-20,37.5,312350
2019-03-21,287.5,340077
2019-03-22,7.5,43042
2019-03-24,-200.0,249804
2019-03-25,-290.0,505778
2019-03-26,-10.0,378387
2019-03-27,-312.5,484133
2019-03-28,135.0,397576
2019-03-29,-327.5,473718
2019-03-31,250.0,193664
2019-04-01,135.0,561029
2019-04-02,-15.0,261568
2019-04-03,272.5,266444
2019-04-04,-367.5,340801
2019-04-05,-50.0,353441
2019-04-07,135.0,27546
2019-04-08,-257.5,534233
2019-04-09,-315.0,448450
2019-04-10,232.5,402501
2019-04-11,-195.0,348475
2019-04-12,87.5,27976
2019-04-14,-5.0,11220
2019-04-15,-295.0,120547
2019-04-16,-12.5,620646
2019-04-17,72.5,530904
2019-04-18,-135.0,435246
2019-04-21,-227.5,49226
2019-04-22,-510.0,578944
2019-04-23,440.0,680739
2019-04-24,-95.0,618275
2019-04-25,152.5,562573
2019-04-26,127.5,339541
2019-04-28,87.5,84274
2019-04-29,-152.5,393797
2019-04-30,-385.0,399509
2019-05-01,-160.0,470982
2019-05-02,-280.0,479010
2019-05-03,-2.5,308776
2019-05-05,17.5,98418
2019-05-06,57.5,347504
2019-05-07,70.0,275210
2019-05-08,-80.0,368878
2019-05-09,90.0,436591
2019-05-10,-27.5,312426
2019-05-12,82.5,127191
2019-05-13,87.5,268276
2019-05-14,-42.5,272816
2019-05-15,47.5,218294
2019-05-16,177.5,268671
2019-05-17,62.5,111575
2019-05-19,222.5,260500
2019-05-20,-247.5,246389
2019-05-21,107.5,269722
2019-05-22,-12.5,215508
2019-05-23,57.5,201620
2019-05-24,10.0,228859
2019-05-26,37.5,195129
2019-05-27,660.0,354483
2019-05-28,-115.0,455524
2019-05-29,135.0,254379
2019-05-30,-177.5,296773
2019-05-31,42.5,144083
2019-06-02,-42.5,8755
