DateTime,Diff,Inc Vol
2019-01-01,-20,13256
2019-01-02,3,933120
2019-01-03,20,1016215
2019-01-04,53,881507
2019-01-06,-22,309303
2019-01-07,63,1003435
2019-01-08,-29,1143752
2019-01-09,46,736603
2019-01-10,-55,761166
2019-01-11,-50,662113
2019-01-13,9,47968
2019-01-14,-1,881521
2019-01-15,-17,722943
2019-01-16,55,1010786
2019-01-17,82,1346727
2019-01-18,-22,307894
2019-01-20,3,426917
2019-01-21,18,798626
2019-01-22,-27,915419
2019-01-23,-74,903170
2019-01-24,13,737365
2019-01-25,28,682808
2019-01-27,12,5818
2019-01-28,-34,886392
2019-01-29,-78,1188209
2019-01-30,53,857295
2019-01-31,11,993537
2019-02-01,-140,584252
2019-02-03,-32,391350
2019-02-04,-19,1341271
2019-02-05,-49,1003533
2019-02-06,-19,707715
2019-02-07,0,717373
2019-02-08,-13,737108
2019-02-10,10,4862
2019-02-11,-47,1119997
2019-02-12,77,1350865
2019-02-13,-50,565896
2019-02-14,73,782024
2019-02-15,5,529478
2019-02-17,-7,471421
2019-02-18,-8,603548
2019-02-19,87,674219
2019-02-20,-15,790537
2019-02-21,-85,637327
2019-02-22,27,825760
2019-02-24,-3,26580
2019-02-25,20,957800
2019-02-26,-11,820013
2019-02-27,60,831145
2019-02-28,-27,930620
2019-03-01,6,1002085
2019-03-03,23,441930
2019-03-04,10,890795
2019-03-05,-7,933375
2019-03-06,32,602181
2019-03-07,24,657753
2019-03-08,54,1285447
2019-03-10,-9,17875
2019-03-11,55,659254
2019-03-12,10,1008832
2019-03-13,-39,1030942
2019-03-14,-87,1351532
2019-03-15,2,1015582
2019-03-17,-19,388298
2019-03-18,44,997186
2019-03-19,-8,1052795
2019-03-20,-19,700828
2019-03-21,47,811206
2019-03-22,-72,739952
2019-03-24,25,16693
2019-03-25,46,848960
2019-03-26,1,814582
2019-03-27,-10,893651
2019-03-28,38,745746
2019-03-29,-5,628193
2019-03-31,50,147612
2019-04-01,-23,611873
2019-04-02,-20,767665
2019-04-03,11,833926
2019-04-04,-83,736467
2019-04-05,10,433391
2019-04-07,-14,505847
2019-04-08,38,1049283
2019-04-09,32,619812
2019-04-10,28,796213
2019-04-11,50,794406
2019-04-12,0,450462
2019-04-14,-8,249139
