DateTime,Diff,Inc Vol
2019-01-01 18:30:00,5,464
2019-01-01 18:40:00,25,234
2019-01-01 18:50:00,-30,86
2019-01-01 19:00:00,0,365
2019-01-01 19:10:00,15,279
2019-01-01 19:20:00,-5,225
2019-01-01 19:30:00,-5,192
2019-01-01 19:40:00,20,161
2019-01-01 19:50:00,-5,173
2019-01-01 20:00:00,45,214
2019-01-01 20:10:00,0,200
2019-01-01 20:20:00,-5,54
2019-01-01 20:30:00,-10,219
2019-01-01 20:40:00,-35,477
2019-01-01 20:50:00,-20,1030
2019-01-01 21:00:00,-95,883
2019-01-01 21:10:00,-60,606
2019-01-01 21:20:00,5,752
2019-01-01 21:30:00,-95,1136
2019-01-01 21:40:00,45,444
2019-01-01 21:50:00,30,314
2019-01-01 22:00:00,5,203
2019-01-01 22:10:00,15,140
2019-01-01 22:20:00,-25,69
2019-01-01 22:30:00,-5,176
2019-01-01 22:40:00,5,321
2019-01-01 22:50:00,10,82
2019-01-01 23:00:00,-55,927
2019-01-01 23:10:00,-20,173
2019-01-01 23:20:00,25,139
2019-01-01 23:30:00,0,135
2019-01-01 23:40:00,0,55
2019-01-01 23:50:00,-5,48
2019-01-02 00:00:00,15,148
2019-01-02 00:10:00,-5,72
2019-01-02 00:20:00,-10,91
2019-01-02 00:30:00,10,87
2019-01-02 00:40:00,15,189
2019-01-02 00:50:00,-30,592
2019-01-02 01:00:00,50,573
2019-01-02 01:10:00,-15,156
2019-01-02 01:20:00,0,55
2019-01-02 01:30:00,0,136
2019-01-02 01:50:00,-5,42
2019-01-02 02:00:00,0,251
2019-01-02 02:10:00,-35,327
2019-01-02 02:20:00,5,160
2019-01-02 02:30:00,20,144
2019-01-02 02:40:00,-25,180
2019-01-02 02:50:00,-10,292
2019-01-02 03:00:00,-35,634
2019-01-02 03:10:00,-95,1050
2019-01-02 03:20:00,-20,1094
2019-01-02 03:30:00,20,490
2019-01-02 03:40:00,5,546
2019-01-02 03:50:00,20,184
2019-01-02 04:00:00,10,219
2019-01-02 04:10:00,0,215
2019-01-02 04:20:00,45,360
