DateTime,Diff,Inc Vol
2019-01-01,-225,11287
2019-01-02,140,43723
2019-01-03,75,112825
2019-01-04,490,87630
2019-01-06,-135,26660
2019-01-07,460,87095
2019-01-08,-100,73864
2019-01-09,50,96010
2019-01-10,10,65786
2019-01-11,-20,12540
2019-01-13,-90,4729
2019-01-14,180,99039
2019-01-15,-80,78169
2019-01-16,20,84429
2019-01-17,-105,91511
2019-01-18,-30,28672
2019-01-20,-35,26552
2019-01-21,95,67105
2019-01-22,-80,68154
2019-01-23,-105,84099
2019-01-24,-280,57234
2019-01-25,125,66224
2019-01-27,90,9538
2019-01-28,-115,64961
2019-01-29,100,96088
2019-01-30,-335,80279
2019-01-31,85,49895
2019-02-01,0,45821
2019-02-03,-170,16848
2019-02-04,-175,72751
2019-02-05,-220,101523
2019-02-06,-225,46067
2019-02-07,555,95407
2019-02-08,0,57044
2019-02-10,-15,21654
2019-02-11,100,71000
2019-02-12,-210,99684
2019-02-13,-95,73999
2019-02-14,95,63984
2019-02-15,115,62699
2019-02-17,-65,10536
2019-02-18,140,65144
2019-02-19,-45,54334
2019-02-20,65,86427
2019-02-21,-90,67702
2019-02-22,-5,36204
2019-02-24,-120,31621
2019-02-25,165,90770
2019-02-26,70,67904
2019-02-27,85,83411
2019-02-28,-105,54601
2019-03-01,20,18636
2019-03-03,-85,9885
2019-03-04,-355,106254
2019-03-05,165,82774
2019-03-06,-165,74289
2019-03-07,-40,77840
2019-03-08,-320,67159
2019-03-10,-30,7299
2019-03-11,-70,89138
2019-03-12,-30,56840
2019-03-13,-20,55706
2019-03-14,-85,35759
2019-03-15,10,45274
2019-03-17,-65,28269
2019-03-18,-305,112619
2019-03-19,265,110418
2019-03-20,-110,85837
2019-03-21,-240,99646
2019-03-22,-195,61624
2019-03-24,-15,9675
2019-03-25,45,98154
2019-03-26,-150,79195
2019-03-27,120,97232
2019-03-28,-95,66337
2019-03-29,-30,37311
2019-03-31,-15,32316
2019-04-01,-300,49470
