DateTime,Diff,Inc Vol
2019-01-01 18:00:00,7.25,5032
2019-01-01 18:10:00,0.25,2667
2019-01-01 18:20:00,3.25,2683
2019-01-01 18:30:00,0.5,1705
2019-01-01 18:40:00,0.75,1186
2019-01-01 18:50:00,-2.25,1246
2019-01-01 19:00:00,-0.25,2075
2019-01-01 19:10:00,-0.5,1082
2019-01-01 19:20:00,0.0,831
2019-01-01 19:30:00,0.25,1883
2019-01-01 19:40:00,0.75,629
2019-01-01 19:50:00,-0.5,497
2019-01-01 20:00:00,0.5,1379
2019-01-01 20:10:00,0.0,1029
2019-01-01 20:20:00,-1.75,846
2019-01-01 20:30:00,-1.75,995
2019-01-01 20:40:00,-5.0,2878
2019-01-01 20:50:00,-4.25,4985
2019-01-01 21:00:00,-3.25,4562
2019-01-01 21:10:00,-8.25,4999
2019-01-01 21:20:00,0.5,3158
2019-01-01 21:30:00,-9.75,6690
2019-01-01 21:40:00,0.75,3687
2019-01-01 21:50:00,1.75,2201
2019-01-01 22:00:00,-1.25,1574
2019-01-01 22:10:00,1.75,1681
2019-01-01 22:20:00,0.5,1033
2019-01-01 22:30:00,-0.5,821
2019-01-01 22:40:00,-0.5,1067
2019-01-01 22:50:00,0.0,1022
2019-01-01 23:00:00,-9.0,5976
2019-01-01 23:10:00,0.0,2230
2019-01-01 23:20:00,1.75,1499
2019-01-01 23:30:00,0.5,1027
2019-01-01 23:40:00,0.75,697
2019-01-01 23:50:00,-0.25,654
2019-01-02 00:00:00,2.0,1531
2019-01-02 00:10:00,-3.0,1354
2019-01-02 00:20:00,0.25,864
2019-01-02 00:30:00,-1.25,1123
2019-01-02 00:40:00,-3.75,1445
2019-01-02 00:50:00,-4.0,2750
2019-01-02 01:00:00,5.0,1992
2019-01-02 01:10:00,-0.75,1199
2019-01-02 01:20:00,2.25,977
2019-01-02 01:30:00,-0.75,653
2019-01-02 01:40:00,-2.0,1120
2019-01-02 01:50:00,-1.5,754
2019-01-02 02:00:00,1.0,1770
2019-01-02 02:10:00,-4.5,2141
2019-01-02 02:20:00,2.5,3777
2019-01-02 02:30:00,1.75,1859
2019-01-02 02:40:00,-2.0,1692
2019-01-02 02:50:00,-5.5,2830
2019-01-02 03:00:00,-2.0,6050
