DateTime,Diff,Inc Vol
2019-01-01,-27.25,78206
2019-01-02,-8.75,1921026
2019-01-03,-16.25,2208642
2019-01-04,59.0,2169260
2019-01-06,-0.25,97453
2019-01-07,14.25,1530055
2019-01-08,21.0,1637867
2019-01-09,-35.75,1541856
2019-01-10,18.25,1445527
2019-01-11,-1.75,1097037
2019-01-13,-19.75,58364
2019-01-14,14.75,1167940
2019-01-15,-3.25,1481298
2019-01-16,-16.75,1279063
2019-01-17,25.25,1465943
2019-01-18,13.25,1620355
2019-01-20,-9.75,44237
2019-01-21,-9.75,161482
2019-01-22,-11.25,1692030
2019-01-23,4.25,1549050
2019-01-24,18.0,1245906
2019-01-25,-8.5,1267791
2019-01-27,-1.5,49102
2019-01-28,-10.0,1372642
2019-01-29,16.75,1214284
2019-01-30,30.5,1520139
2019-01-31,-3.25,1820664
2019-02-01,2.25,1340001
2019-02-03,1.75,31698
2019-02-04,22.25,990519
2019-02-05,-1.5,1198742
2019-02-06,-12.5,1139764
2019-02-07,-18.25,1902964
2019-02-08,30.75,1451287
2019-02-10,-7.0,42821
2019-02-11,7.5,1108277
2019-02-12,22.75,1257889
2019-02-13,-17.25,1162665
2019-02-14,-33.0,1653510
2019-02-15,41.75,1389331
2019-02-17,-4.0,41923
2019-02-18,-3.5,122607
2019-02-19,10.75,1032253
2019-02-20,15.0,1258026
2019-02-21,-18.75,1352501
2019-02-22,31.0,1096093
2019-02-24,0.5,64650
2019-02-25,-17.75,1216160
2019-02-26,8.0,1095660
2019-02-27,0.5,1125146
2019-02-28,3.0,1296291
2019-03-01,8.75,1159551
2019-03-03,12.0,50697
2019-03-04,-32.5,1717478
2019-03-05,-7.25,1141921
2019-03-06,-10.75,1311825
2019-03-07,-21.0,339677
2019-03-08,3.25,995911
2019-03-10,-1.75,63120
2019-03-11,33.75,1045292
2019-03-12,-10.25,1138544
2019-03-13,10.5,1269848
2019-03-14,-23.5,1057167
2019-03-15,10.5,1280779
2019-03-17,8.0,34146
2019-03-18,17.25,1004088
2019-03-19,-13.0,1468317
2019-03-20,-0.25,1641786
2019-03-21,22.5,1626449
2019-03-22,-37.25,2138630
2019-03-24,-20.5,125141
2019-03-25,20.25,1693531
2019-03-26,-13.75,1447670
2019-03-27,-21.5,1684983
2019-03-28,18.75,1146455
2019-03-29,-9.25,1381211
2019-03-31,10.75,75550
2019-04-01,-2.25,1180276
2019-04-02,18.5,880550
2019-04-03,3.5,1168568
2019-04-04,5.75,1109618
2019-04-05,6.5,1059956
2019-04-07,-7.5,44948
2019-04-08,5.25,946325
2019-04-09,-22.25,1163047
2019-04-10,14.0,956225
2019-04-11,-7.0,946691
2019-04-12,-8.75,1121445
2019-04-14,-8.75,40716
2019-04-15,-10.5,919350
2019-04-16,-4.5,1126881
2019-04-17,-9.0,1319927
2019-04-18,17.5,1236327
2019-04-21,-3.25,56832
2019-04-22,7.0,667841
2019-04-23,23.25,1151699
2019-04-24,-4.25,1056615
2019-04-25,-17.5,1370469
2019-04-26,20.25,1149758
2019-04-28,2.75,26551
2019-04-29,-8.0,927975
2019-04-30,8.25,1419600
2019-05-01,-38.0,1470792
2019-05-02,-2.25,1773597
2019-05-03,6.75,1201010
2019-05-05,-28.75,282277
2019-05-06,49.75,1796662
2019-05-07,-9.0,2703160
2019-05-08,-23.0,2034541
2019-05-09,6.75,2756704
2019-05-10,34.5,2547459
2019-05-12,-2.75,99923
2019-05-13,-13.25,2699451
2019-05-14,10.5,1734307
2019-05-15,-15.5,1694832
2019-05-16,4.0,1610332
2019-05-17,2.0,1820260
2019-05-19,4.75,69937
2019-05-20,2.75,1620289
2019-05-21,-8.0,1239689
2019-05-22,-7.75,1225175
2019-05-23,-9.0,1956138
2019-05-24,-2.0,1089408
2019-05-26,-1.75,38180
2019-05-27,-2.25,149133
2019-05-28,-43.0,1495888
2019-05-29,21.25,1995566
2019-05-30,-38.0,1373093
2019-05-31,1.25,1938057
2019-06-02,-2.0,115142
2019-06-03,17.25,2202859
2019-06-04,49.25,1793116
2019-06-05,5.5,1683798
2019-06-06,1.5,1510615
2019-06-07,6.5,1550962
2019-06-09,-13.25,97348
2019-06-10,-6.0,1303248
2019-06-11,-0.75,1326918
2019-06-12,5.5,1062618
2019-06-13,16.75,265683
2019-06-14,3.25,700632
2019-06-16,7.5,42959
2019-06-17,-16.75,802615
2019-06-18,23.75,1591961
2019-06-19,20.5,1317363
2019-06-20,-10.5,1614745
2019-06-21,-7.0,1383098
2019-06-23,17.25,54455
2019-06-24,-5.75,881614
2019-06-25,1.25,1377770
2019-06-26,5.0,1206713
2019-06-27,8.75,1005423
2019-06-28,19.25,1174796
2019-06-30,2.75,95243
2019-07-01,-14.25,1348936
2019-07-02,-4.5,1079223
2019-07-03,4.0,737898
2019-07-04,-7.25,99798
2019-07-05,1.5,1155314
2019-07-07,-5.0,51917
2019-07-08,-3.5,980513
2019-07-09,20.0,910036
2019-07-10,20.75,1392716
2019-07-11,-6.75,1157870
2019-07-12,-8.75,870623
2019-07-14,4.5,33238
2019-07-15,-0.25,789843
